Year Before;Lead;
1950;pg/g;Missing values -0.999
2869,5;1,04;
2868,5;0,89;
2867,5;0,87;
2866,5;1,26;
2865,5;1,58;
2864,5;1,67;
2863,5;1,43;
2862,5;2,13;
2861,5;3,11;
2860,5;1,99;
2859,5;2,03;
2858,5;2,19;
2857,5;1,96;
2856,5;1,18;
2855,5;1,97;
2854,5;1,26;
2853,5;1,19;
2852,5;1,33;
2851,5;2,09;
2850,5;1,66;
2849,5;7,98;
2848,5;-0,999;
2847,5;2,84;
2846,5;2,99;
2845,5;2,31;
2844,5;1,88;
2843,5;2,41;
2842,5;1,63;
2841,5;1,68;
2840,5;1,87;
2839,5;1,78;
2838,5;2,28;
2837,5;1,56;
2836,5;1;
2835,5;0,99;
2834,5;2,04;
2833,5;1,91;
2832,5;1,3;
2831,5;1,73;
2830,5;1,36;
2829,5;1,69;
2828,5;1,45;
2827,5;1,97;
2826,5;1,9;
2825,5;1,22;
2824,5;1,14;
2823,5;1,98;
2822,5;1,54;
2821,5;2,05;
2820,5;1,63;
2819,5;2,17;
2818,5;2,7;
2817,5;1,89;
2816,5;1,6;
2815,5;1,92;
2814,5;1,96;
2813,5;1,92;
2812,5;3,54;
2811,5;3,83;
2810,5;2,33;
2809,5;2,7;
2808,5;1,71;
2807,5;2,09;
2806,5;2,07;
2805,5;1,54;
2804,5;1,59;
2803,5;1,64;
2802,5;1,62;
2801,5;1,36;
2800,5;1,79;
2799,5;1,45;
2798,5;1,31;
2797,5;1,84;
2796,5;2,58;
2795,5;2,22;
2794,5;3,39;
2793,5;1,7;
2792,5;1,01;
2791,5;1,29;
2790,5;3,77;
2789,5;2,22;
2788,5;1,65;
2787,5;2,17;
2786,5;2,43;
2785,5;1,53;
2784,5;1,28;
2783,5;0,87;
2782,5;1,92;
2781,5;1,78;
2780,5;1,83;
2779,5;1,03;
2778,5;1,9;
2777,5;1,76;
2776,5;3,15;
2775,5;1,55;
2774,5;1,1;
2773,5;1,73;
2772,5;1,24;
2771,5;1,89;
2770,5;1,78;
2769,5;2,68;
2768,5;3;
2767,5;1,94;
2766,5;1,94;
2765,5;1,83;
2764,5;1,31;
2763,5;1,86;
2762,5;1,4;
2761,5;1,69;
2760,5;2,64;
2759,5;2,72;
2758,5;1,48;
2757,5;1,44;
2756,5;1,68;
2755,5;2,22;
2754,5;2,48;
2753,5;2,06;
2752,5;2,49;
2751,5;1,97;
2750,5;2,2;
2749,5;6,8;
2748,5;-0,999;
2747,5;-0,999;
2746,5;7,74;
2745,5;4,16;
2744,5;-0,999;
2743,5;-0,999;
2742,5;-0,999;
2741,5;-0,999;
2740,5;-0,999;
2739,5;3,16;
2738,5;3,5;
2737,5;2,57;
2736,5;2,72;
2735,5;1,64;
2734,5;2,1;
2733,5;1,94;
2732,5;1,4;
2731,5;1,06;
2730,5;1,04;
2729,5;3,32;
2728,5;-0,999;
2727,5;-0,999;
2726,5;4,81;
2725,5;2,74;
2724,5;2,23;
2723,5;1,28;
2722,5;1,68;
2721,5;2,27;
2720,5;2,8;
2719,5;2,33;
2718,5;-0,999;
2717,5;-0,999;
2716,5;-0,999;
2715,5;1,35;
2714,5;2,18;
2713,5;1,76;
2712,5;2,01;
2711,5;2,28;
2710,5;1,29;
2709,5;1,46;
2708,5;3,35;
2707,5;-0,999;
2706,5;-0,999;
2705,5;-0,999;
2704,5;1,3;
2703,5;1,58;
2702,5;1,92;
2701,5;3,17;
2700,5;2,33;
2699,5;2,36;
2698,5;2,08;
2697,5;1,64;
2696,5;1,34;
2695,5;1,6;
2694,5;2;
2693,5;1,87;
2692,5;1,84;
2691,5;1,96;
2690,5;2,46;
2689,5;2,73;
2688,5;2,55;
2687,5;2,42;
2686,5;2,42;
2685,5;1,58;
2684,5;2,24;
2683,5;2,34;
2682,5;1,32;
2681,5;2,16;
2680,5;2,07;
2679,5;1,86;
2678,5;1,4;
2677,5;2,13;
2676,5;1,98;
2675,5;1,76;
2674,5;1,45;
2673,5;1,99;
2672,5;1,74;
2671,5;2,69;
2670,5;2,29;
2669,5;1,77;
2668,5;2,08;
2667,5;2,11;
2666,5;1,95;
2665,5;2;
2664,5;1,29;
2663,5;2,21;
2662,5;2,3;
2661,5;3,9;
2660,5;2,15;
2659,5;1,99;
2658,5;1,52;
2657,5;1,4;
2656,5;1,56;
2655,5;2,02;
2654,5;1,18;
2653,5;1,5;
2652,5;1,58;
2651,5;1,75;
2650,5;2,31;
2649,5;2,3;
2648,5;1,23;
2647,5;2,23;
2646,5;2,57;
2645,5;2,75;
2644,5;1,63;
2643,5;2,6;
2642,5;2,02;
2641,5;1,77;
2640,5;1,76;
2639,5;2,21;
2638,5;2,27;
2637,5;1,55;
2636,5;1,7;
2635,5;1,42;
2634,5;1,53;
2633,5;2,66;
2632,5;2,65;
2631,5;2,19;
2630,5;1,24;
2629,5;12,62;
2628,5;2;
2627,5;1,46;
2626,5;1,2;
2625,5;1,05;
2624,5;2,1;
2623,5;2,3;
2622,5;2,34;
2621,5;1,73;
2620,5;2,43;
2619,5;2,61;
2618,5;-0,999;
2617,5;1,57;
2616,5;1,06;
2615,5;1,84;
2614,5;1,18;
2613,5;2,32;
2612,5;2,27;
2611,5;1,85;
2610,5;2,9;
2609,5;1,47;
2608,5;1,17;
2607,5;-0,999;
2606,5;-0,999;
2605,5;2,59;
2604,5;1,71;
2603,5;1,81;
2602,5;2,11;
2601,5;14,32;
2600,5;1,92;
2599,5;1,62;
2598,5;2,36;
2597,5;1,95;
2596,5;1,61;
2595,5;1,67;
2594,5;4,98;
2593,5;3,12;
2592,5;2,65;
2591,5;4,54;
2590,5;4,49;
2589,5;2,33;
2588,5;2,32;
2587,5;2,56;
2586,5;2,88;
2585,5;2,23;
2584,5;2,13;
2583,5;1,42;
2582,5;1,89;
2581,5;1,78;
2580,5;2,27;
2579,5;1,82;
2578,5;1,57;
2577,5;2,54;
2576,5;1,72;
2575,5;1,27;
2574,5;1,24;
2573,5;1,63;
2572,5;1,99;
2571,5;2,29;
2570,5;3,63;
2569,5;2,66;
2568,5;1,94;
2567,5;1,74;
2566,5;1,44;
2565,5;1,48;
2564,5;3,24;
2563,5;3,48;
2562,5;1,89;
2561,5;3;
2560,5;1,05;
2559,5;1,63;
2558,5;1,39;
2557,5;1,62;
2556,5;1,99;
2555,5;1,48;
2554,5;1,67;
2553,5;1,69;
2552,5;1,72;
2551,5;1,39;
2550,5;2,39;
2549,5;1,36;
2548,5;2,36;
2547,5;4,38;
2546,5;2,48;
2545,5;3,83;
2544,5;2,93;
2543,5;3,29;
2542,5;1,55;
2541,5;1,41;
2540,5;1,73;
2539,5;2,6;
2538,5;2,12;
2537,5;1,57;
2536,5;5,04;
2535,5;3,41;
2534,5;2,31;
2533,5;2,13;
2532,5;1,76;
2531,5;2,7;
2530,5;3,5;
2529,5;-0,999;
2528,5;-0,999;
2527,5;1,96;
2526,5;1,54;
2525,5;1,5;
2524,5;1,34;
2523,5;1,58;
2522,5;2,21;
2521,5;2,08;
2520,5;1,99;
2519,5;2,4;
2518,5;1,62;
2517,5;2,38;
2516,5;2,32;
2515,5;2,12;
2514,5;2,11;
2513,5;2,16;
2512,5;1,52;
2511,5;1,59;
2510,5;1,83;
2509,5;2,38;
2508,5;1,46;
2507,5;1,99;
2506,5;2,03;
2505,5;2,14;
2504,5;2,2;
2503,5;2,27;
2502,5;-0,999;
2501,5;1,45;
2500,5;1,94;
2499,5;1,78;
2498,5;1,85;
2497,5;1,87;
2496,5;1,8;
2495,5;1,68;
2494,5;1,28;
2493,5;1,6;
2492,5;1,36;
2491,5;1,81;
2490,5;2,09;
2489,5;1,83;
2488,5;1,39;
2487,5;2,03;
2486,5;1,77;
2485,5;1,78;
2484,5;2,96;
2483,5;2,21;
2482,5;1,68;
2481,5;2,29;
2480,5;2,24;
2479,5;1,91;
2478,5;2,01;
2477,5;1,28;
2476,5;1,31;
2475,5;2;
2474,5;3,63;
2473,5;1,92;
2472,5;1,95;
2471,5;2,37;
2470,5;1,25;
2469,5;1,3;
2468,5;1,13;
2467,5;1,6;
2466,5;1,74;
2465,5;1,73;
2464,5;3,07;
2463,5;2,25;
2462,5;4,42;
2461,5;1,94;
2460,5;1,81;
2459,5;2,31;
2458,5;2,09;
2457,5;0,82;
2456,5;1,59;
2455,5;1,82;
2454,5;2,27;
2453,5;2,08;
2452,5;1,53;
2451,5;3,63;
2450,5;2,25;
2449,5;1,9;
2448,5;2,47;
2447,5;1,65;
2446,5;2,65;
2445,5;3,73;
2444,5;2,72;
2443,5;2,19;
2442,5;2,35;
2441,5;2,92;
2440,5;3,02;
2439,5;2,17;
2438,5;1,7;
2437,5;2,88;
2436,5;4,07;
2435,5;2,82;
2434,5;3,47;
2433,5;2,36;
2432,5;2,26;
2431,5;2,3;
2430,5;3,16;
2429,5;2,61;
2428,5;2,44;
2427,5;2,45;
2426,5;2,59;
2425,5;2,97;
2424,5;9,51;
2423,5;15,32;
2422,5;4,76;
2421,5;4,09;
2420,5;4,56;
2419,5;2,83;
2418,5;2,35;
2417,5;2,61;
2416,5;3,24;
2415,5;2,45;
2414,5;2,41;
2413,5;2,37;
2412,5;2,98;
2411,5;2,48;
2410,5;3,37;
2409,5;2,31;
2408,5;1,93;
2407,5;2,71;
2406,5;1,85;
2405,5;2,24;
2404,5;1,92;
2403,5;2,05;
2402,5;2,91;
2401,5;1,85;
2400,5;1,93;
2399,5;1,97;
2398,5;3,41;
2397,5;2,62;
2396,5;2,12;
2395,5;2,43;
2394,5;2,88;
2393,5;1,73;
2392,5;2,58;
2391,5;1,66;
2390,5;1,98;
2389,5;2,23;
2388,5;1,68;
2387,5;2,04;
2386,5;1,42;
2385,5;1,53;
2384,5;1,83;
2383,5;8,85;
2382,5;3,15;
2381,5;1,02;
2380,5;2,71;
2379,5;2,88;
2378,5;2,1;
2377,5;3,12;
2376,5;2,64;
2375,5;2,69;
2374,5;1,84;
2373,5;2,18;
2372,5;1,92;
2371,5;2,88;
2370,5;2,1;
2369,5;1,7;
2368,5;2,84;
2367,5;2,61;
2366,5;1,87;
2365,5;1,49;
2364,5;1,91;
2363,5;2,19;
2362,5;1,36;
2361,5;1,72;
2360,5;2,42;
2359,5;1,45;
2358,5;1,35;
2357,5;1,97;
2356,5;2,04;
2355,5;1,62;
2354,5;1,35;
2353,5;1,83;
2352,5;2,57;
2351,5;2,35;
2350,5;1,58;
2349,5;1,5;
2348,5;1,67;
2347,5;1,91;
2346,5;2,02;
2345,5;1,6;
2344,5;3,55;
2343,5;2,54;
2342,5;4,34;
2341,5;3,44;
2340,5;2,22;
2339,5;1,97;
2338,5;1,84;
2337,5;1,46;
2336,5;1,13;
2335,5;2,29;
2334,5;1,72;
2333,5;1,33;
2332,5;2,1;
2331,5;2,12;
2330,5;2,33;
2329,5;2,24;
2328,5;2,38;
2327,5;1,71;
2326,5;2,32;
2325,5;1,63;
2324,5;1,6;
2323,5;1,25;
2322,5;1,22;
2321,5;1,2;
2320,5;1,92;
2319,5;1,44;
2318,5;1,62;
2317,5;2,01;
2316,5;1,75;
2315,5;1,81;
2314,5;3,98;
2313,5;1,73;
2312,5;1,32;
2311,5;1,27;
2310,5;1,54;
2309,5;2,29;
2308,5;1,68;
2307,5;-0,999;
2306,5;-0,999;
2305,5;0,86;
2304,5;1,55;
2303,5;1,45;
2302,5;1,13;
2301,5;1,29;
2300,5;1,24;
2299,5;1,58;
2298,5;2,09;
2297,5;2,19;
2296,5;1,61;
2295,5;3,16;
2294,5;3,52;
2293,5;2,13;
2292,5;2,02;
2291,5;2,28;
2290,5;3,02;
2289,5;2,01;
2288,5;-0,999;
2287,5;-0,999;
2286,5;-0,999;
2285,5;-0,999;
2284,5;-0,999;
2283,5;8,27;
2282,5;5,43;
2281,5;2,26;
2280,5;2,3;
2279,5;2,91;
2278,5;4,12;
2277,5;4,62;
2276,5;2,3;
2275,5;3,1;
2274,5;2,18;
2273,5;1,06;
2272,5;4,3;
2271,5;1,42;
2270,5;1,49;
2269,5;2,07;
2268,5;1,8;
2267,5;2,18;
2266,5;2,74;
2265,5;1,81;
2264,5;4,24;
2263,5;3,03;
2262,5;4,02;
2261,5;2,84;
2260,5;2,79;
2259,5;2,02;
2258,5;3,1;
2257,5;4,21;
2256,5;2,5;
2255,5;2,5;
2254,5;-0,999;
2253,5;2,76;
2252,5;1,9;
2251,5;1,93;
2250,5;1,98;
2249,5;2,69;
2248,5;2,3;
2247,5;3,02;
2246,5;2,55;
2245,5;2,24;
2244,5;2,47;
2243,5;3,24;
2242,5;4,28;
2241,5;2,88;
2240,5;2,65;
2239,5;2,98;
2238,5;3,23;
2237,5;2,69;
2236,5;2,41;
2235,5;-0,999;
2234,5;2,32;
2233,5;4,75;
2232,5;2,34;
2231,5;2,64;
2230,5;3,84;
2229,5;2,94;
2228,5;1,87;
2227,5;2,53;
2226,5;3,77;
2225,5;1,88;
2224,5;2,03;
2223,5;2,9;
2222,5;2,74;
2221,5;2,44;
2220,5;3,25;
2219,5;4,02;
2218,5;2,8;
2217,5;2,78;
2216,5;2,04;
2215,5;1,87;
2214,5;3,05;
2213,5;2,61;
2212,5;2,21;
2211,5;2,95;
2210,5;2,13;
2209,5;2,62;
2208,5;4,82;
2207,5;3,04;
2206,5;1,94;
2205,5;3,14;
2204,5;3,91;
2203,5;2,42;
